1 (0, 'elementary-set-theory\n')
2 (1, 'intuition\n')
3 (2, 'infinity\n')
4 (3, 'faq\n')
5 (4, 'calculus\n')
6 (5, 'limits\n')
7 (6, 'definition\n')
8 (7, 'soft-question\n')
9 (8, 'big-list\n')
10 (9, 'online-resources\n')
11 (10, 'elementary-number-theory\n')
12 (11, 'proof-writing\n')
13 (12, 'radicals\n')
14 (13, 'rationality-testing\n')
15 (14, 'math-software\n')
16 (15, 'linear-algebra\n')
17 (16, 'combinatorics\n')
18 (17, 'generating-functions\n')
19 (18, 'fibonacci-numbers\n')
20 (19, 'algebra-precalculus\n')
21 (20, 'decimal-expansion\n')
22 (21, 'geometry\n')
23 (22, 'terminology\n')
24 (23, 'number-systems\n')
25 (24, 'matrices\n')
26 (25, 'inner-product-space\n')
27 (27, 'cross-product\n')
28 (28, 'computer-algebra-systems\n')
29 (29, 'vector-spaces\n')
30 (30, 'logic\n')
31 (31, 'relations\n')
32 (32, 'statistics\n')
33 (33, 'applications\n')
34 (34, 'cryptography\n')
35 (35, 'elliptic-curves\n')
36 (36, 'quaternions\n')
37 (37, 'probability-theory\n')
38 (38, 'abstract-algebra\n')
39 (39, 'education\n')
40 (40, 'reference-request\n')
41 (41, 'algorithms\n')
42 (42, 'numerical-methods\n')
43 (43, 'special-functions\n')
44 (44, 'arithmetic\n')
45 (45, 'project-euler\n')
46 (46, 'paradoxes\n')
47 (47, 'fake-proofs\n')
48 (48, 'prime-numbers\n')
49 (50, 'number-theory\n')
50 (51, 'exponentiation\n')
51 (52, 'real-analysis\n')
52 (53, 'complex-numbers\n')
53 (54, 'philosophy\n')
54 (55, 'integration\n')
55 (56, 'differential-algebra\n')
56 (57, 'set-theory\n')
57 (58, 'volume\n')
58 (59, 'solid-geometry\n')
59 (61, 'discrete-geometry\n')
60 (62, 'proof-theory\n')
61 (63, 'constructive-mathematics\n')
62 (64, 'analysis\n')
63 (65, 'economics\n')
64 (66, 'learning\n')
65 (67, 'signal-processing\n')
66 (68, 'advice\n')
67 (69, 'probability-distributions\n')
68 (70, 'examples-counterexamples\n')
69 (71, 'sequences-and-series\n')
70 (72, 'harmonic-numbers\n')
71 (73, 'experimental-mathematics\n')
72 (74, 'book-recommendation\n')
73 (75, 'natural-numbers\n')
74 (76, 'recreational-mathematics\n')
75 (77, 'approximation\n')
76 (78, 'pi\n')
77 (79, 'computability\n')
78 (80, 'ring-theory\n')
79 (81, 'group-theory\n')
80 (82, 'congruences\n')
81 (83, 'category-theory\n')
82 (84, 'higher-order-logic\n')
83 (85, 'discrete-mathematics\n')
84 (86, 'math-history\n')
85 (87, 'tiling\n')
86 (88, 'factorial\n')
87 (89, 'closed-form\n')
88 (90, 'axioms\n')
89 (91, 'convergence\n')
90 (92, 'trigonometry\n')
91 (93, 'universal-algebra\n')
92 (94, 'monads\n')
93 (95, 'complex-analysis\n')
94 (96, 'notation\n')
95 (97, 'lie-algebras\n')
96 (98, 'polyhedra\n')
97 (99, 'platonic-solids\n')
98 (100, 'polynomials\n')
99 (101, 'roots\n')
100 (102, 'symmetric-polynomials\n')
101 (103, 'diophantine-equations\n')
102 (104, 'equivalence-relations\n')
103 (105, 'fractions\n')
104 (106, 'transformation\n')
105 (107, 'physics\n')
106 (108, 'semigroups\n')
107 (109, 'monoid\n')
108 (110, 'theorem-provers\n')
109 (111, 'cardinals\n')
110 (112, 'algebraic-geometry\n')
111 (113, 'euclidean-geometry\n')
112 (115, 'finitism\n')
113 (116, 'conjectures\n')
114 (117, 'commutative-algebra\n')
115 (118, 'geometric-group-theory\n')
116 (119, 'group-presentation\n')
117 (120, 'numerical-linear-algebra\n')
118 (121, 'projective-schemes\n')
119 (122, 'quasicoherent-sheaves\n')
120 (123, 'projective-space\n')
121 (124, 'quartic-equations\n')
122 (125, 'stochastic-processes\n')
123 (126, 'random-walk\n')
124 (127, 'symmetry\n')
125 (128, 'riemann-zeta\n')
126 (129, 'puzzle\n')
127 (130, 'homology-cohomology\n')
128 (131, 'algebraic-topology\n')
129 (132, 'general-topology\n')
130 (133, 'card-games\n')
131 (134, 'geometric-construction\n')
132 (135, 'transformational-geometry\n')
133 (136, 'probability\n')
134 (137, 'finance\n')
135 (138, 'representation-theory\n')
136 (139, 'chemistry\n')
137 (140, 'derivatives\n')
138 (141, 'circle\n')
139 (142, 'computer-science\n')
140 (143, 'graph-theory\n')
141 (144, 'hamiltonian-path\n')
142 (146, 'game-theory\n')
143 (147, 'homotopy-theory\n')
144 (148, 'determinant\n')
145 (149, 'optimization\n')
146 (150, 'lagrange-multiplier\n')
147 (151, 'monte-carlo\n')
148 (152, 'open-problem\n')
149 (153, 'contest-math\n')
150 (154, 'random\n')
151 (156, 'regression\n')
152 (157, 'packing-problem\n')
153 (158, 'analytic-geometry\n')
154 (159, 'conic-sections\n')
155 (160, 'plane-curves\n')
156 (161, 'tensors\n')
157 (162, 'logarithms\n')
158 (163, 'spherical-geometry\n')
159 (164, 'np-complete\n')
160 (165, 'modules\n')
161 (166, 'graded-modules\n')
162 (167, 'graded-rings\n')
163 (168, 'irrational-numbers\n')
164 (169, 'linear-programming\n')
165 (170, 'searching\n')
166 (171, 'differential-equations\n')
167 (172, 'triangle\n')
168 (173, 'integer-lattices\n')
169 (174, 'taylor-expansion\n')
170 (175, 'pde\n')
171 (176, 'exponential-function\n')
172 (177, 'algebraic-number-theory\n')
173 (178, 'compactness\n')
174 (179, 'divisibility\n')
175 (180, 'factoring\n')
176 (181, 'symbolic-computation\n')
177 (182, 'quantifiers\n')
178 (183, 'binomial-coefficients\n')
179 (184, 'riemann-hypothesis\n')
180 (185, 'integral-transforms\n')
181 (186, 'noncommutative-geometry\n')
182 (187, 'quantum-groups\n')
183 (188, 'lambda-calculus\n')
184 (189, 'type-theory\n')
185 (190, 'inequality\n')
186 (191, 'matrix-rank\n')
187 (192, 'fourier-analysis\n')
188 (193, 'coordinate-systems\n')
189 (194, 'differential-geometry\n')
190 (196, 'eigenvalues-eigenvectors\n')
191 (197, 'fractals\n')
192 (198, 'dynamical-systems\n')
193 (199, 'recurrence-relations\n')
194 (200, 'functions\n')
195 (201, 'function-composition\n')
196 (202, 'word-problem\n')
197 (203, 'visualization\n')
198 (204, 'descriptive-statistics\n')
199 (205, 'induction\n')
200 (206, 'functional-equations\n')
201 (207, 'multivalued-functions\n')
202 (208, 'average\n')
203 (209, 'valuation-theory\n')
204 (210, 'algebraic-groups\n')
205 (211, 'field-theory\n')
206 (212, 'hyperbolic-geometry\n')
